selling_price,km_driven,fuel,seller_type,transmission,owner,age,brand
60000,70000,Petrol,Individual,Manual,First Owner,19,Maruti
135000,50000,Petrol,Individual,Manual,First Owner,19,Maruti
600000,100000,Diesel,Individual,Manual,First Owner,14,Hyundai
250000,46000,Petrol,Individual,Manual,First Owner,9,Datsun
450000,141000,Diesel,Individual,Manual,Second Owner,12,Honda
140000,125000,Petrol,Individual,Manual,First Owner,19,Maruti
550000,25000,Petrol,Individual,Manual,First Owner,10,Hyundai
240000,60000,Petrol,Individual,Manual,Second Owner,12,Tata
850000,25000,Petrol,Individual,Manual,First Owner,11,Hyundai
365000,78000,CNG,Individual,Manual,First Owner,9,Maruti
260000,35000,Petrol,Individual,Manual,First Owner,11,Chevrolet
250000,100000,Petrol,Individual,Manual,First Owner,12,Tata
1650000,25000,Petrol,Dealer,Automatic,First Owner,8,Toyota
585000,24000,Petrol,Dealer,Manual,First Owner,11,Maruti
1195000,5000,Diesel,Dealer,Manual,First Owner,7,Hyundai
390000,33000,Diesel,Individual,Manual,Second Owner,13,Chevrolet
1964999,28000,Diesel,Dealer,Automatic,First Owner,12,Other
1425000,59000,Diesel,Dealer,Automatic,First Owner,13,Mercedes-Benz
975000,4500,Diesel,Dealer,Automatic,First Owner,8,Maruti
1190000,175900,Diesel,Dealer,Automatic,First Owner,15,Audi
930000,14500,Petrol,Dealer,Manual,First Owner,8,Honda
525000,15000,Petrol,Individual,Manual,First Owner,8,Tata
1735000,50000,Diesel,Dealer,Automatic,First Owner,13,Audi
1375000,33800,Diesel,Dealer,Automatic,Second Owner,14,Mercedes-Benz
450000,130400,Diesel,Dealer,Automatic,Second Owner,15,Skoda
900000,50000,Petrol,Individual,Automatic,First Owner,10,Toyota
1300000,80000,Diesel,Individual,Manual,First Owner,11,Toyota
1400000,10000,Petrol,Individual,Manual,First Owner,7,Other
850000,119000,Petrol,Dealer,Automatic,First Owner,16,Mercedes-Benz
229999,60000,Petrol,Individual,Manual,Fourth & Above Owner,12,Hyundai
1550000,75800,Diesel,Dealer,Automatic,Second Owner,13,BMW
1250000,78000,Diesel,Dealer,Automatic,Third Owner,17,Audi
625000,40000,Diesel,Individual,Manual,First Owner,14,Hyundai
1050000,50000,Diesel,Individual,Manual,First Owner,12,Mahindra
560000,74000,Diesel,Individual,Manual,Second Owner,12,Honda
290000,64000,Petrol,Individual,Manual,Second Owner,12,Maruti
275000,60000,Petrol,Individual,Manual,Second Owner,14,Maruti
411000,120000,Diesel,Individual,Manual,Second Owner,17,Mahindra
150000,79000,Petrol,Individual,Manual,Third Owner,17,Hyundai
500000,15000,Petrol,Individual,Manual,First Owner,7,Hyundai
100000,80000,Petrol,Individual,Manual,First Owner,20,Maruti
725000,18500,Diesel,Dealer,Manual,First Owner,9,Maruti
401000,10200,Petrol,Dealer,Manual,First Owner,8,Maruti
750000,29000,Diesel,Dealer,Manual,First Owner,8,Hyundai
310000,28000,Petrol,Dealer,Manual,First Owner,8,Maruti
665000,46000,Diesel,Dealer,Manual,First Owner,10,Maruti
465000,70000,Diesel,Dealer,Manual,First Owner,12,Hyundai
160000,60000,Petrol,Individual,Manual,Second Owner,14,Maruti
250000,35000,Diesel,Individual,Manual,Second Owner,30,Mahindra
675000,90000,Diesel,Dealer,Manual,First Owner,12,Honda
300000,80000,Petrol,Dealer,Manual,First Owner,13,Maruti
70000,80000,Diesel,Individual,Manual,First Owner,21,Tata
240000,73300,Petrol,Dealer,Manual,Second Owner,12,Hyundai
525000,92000,Diesel,Dealer,Manual,First Owner,12,Toyota
151000,66764,Petrol,Dealer,Manual,Second Owner,17,Maruti
140000,100000,Petrol,Individual,Manual,First Owner,17,Maruti
350000,230000,Diesel,Individual,Manual,First Owner,15,Toyota
570000,60000,Diesel,Individual,Manual,First Owner,9,Mahindra
300000,31000,Petrol,Individual,Manual,First Owner,8,Hyundai
100000,39000,Diesel,Individual,Manual,First Owner,19,Tata
500000,120000,Diesel,Individual,Manual,Third Owner,17,Toyota
125000,166000,Diesel,Individual,Manual,Fourth & Above Owner,12,Tata
130000,110000,Petrol,Individual,Manual,Third Owner,20,Maruti
925000,35000,Diesel,Individual,Manual,First Owner,9,Ford
750000,60000,Diesel,Individual,Manual,First Owner,8,Maruti
200000,54000,Petrol,Individual,Automatic,Second Owner,19,Honda
248000,63000,Petrol,Individual,Manual,Second Owner,16,Hyundai
450000,120000,Diesel,Individual,Manual,Second Owner,12,Skoda
80000,120000,Petrol,Individual,Manual,Third Owner,21,Hyundai
650000,76000,Petrol,Individual,Manual,Second Owner,12,Nissan
450000,80000,Diesel,Individual,Manual,First Owner,11,Hyundai
650000,25000,Diesel,Individual,Manual,First Owner,7,Hyundai
495000,11958,Petrol,Dealer,Manual,First Owner,10,Honda
371000,20000,Petrol,Dealer,Manual,First Owner,11,Honda
1025000,9000,Petrol,Dealer,Manual,First Owner,9,Hyundai
750000,70000,Diesel,Individual,Manual,First Owner,11,Mahindra
600000,120000,Diesel,Individual,Manual,First Owner,13,Renault
80000,58000,Petrol,Dealer,Manual,Second Owner,19,Hyundai
325000,62200,Diesel,Dealer,Manual,First Owner,13,Mahindra
1470000,34000,Diesel,Dealer,Automatic,Second Owner,12,Audi
350000,53000,Diesel,Individual,Manual,Second Owner,11,Fiat
2800000,49000,Diesel,Dealer,Automatic,First Owner,13,Audi
210000,15000,Petrol,Dealer,Manual,Second Owner,9,Datsun
450000,50000,Petrol,Individual,Manual,First Owner,13,Volkswagen
1150000,53000,Diesel,Dealer,Automatic,First Owner,13,Audi
210000,63500,Petrol,Dealer,Automatic,First Owner,17,Honda
2750000,13000,Diesel,Individual,Automatic,First Owner,9,BMW
1975000,21000,Diesel,Dealer,Automatic,First Owner,8,Other
175000,29173,Petrol,Dealer,Manual,First Owner,18,Maruti
2500000,48000,Diesel,Dealer,Automatic,First Owner,14,BMW
628000,120000,Diesel,Individual,Manual,First Owner,9,Mahindra
600000,100000,Diesel,Individual,Manual,First Owner,16,Hyundai
399000,30000,Petrol,Individual,Manual,First Owner,9,Nissan
750000,87000,Diesel,Individual,Manual,First Owner,8,Mahindra
750000,15000,Petrol,Individual,Manual,First Owner,7,Hyundai
315000,16000,Petrol,Individual,Manual,First Owner,9,Renault
600000,60000,Diesel,Individual,Manual,First Owner,14,Mahindra
100000,60000,Petrol,Individual,Manual,Fourth & Above Owner,16,Maruti
250000,110000,Petrol,Individual,Manual,Third Owner,15,Maruti
350000,25000,Petrol,Individual,Manual,First Owner,9,Renault
780000,60000,Diesel,Individual,Manual,First Owner,10,Hyundai
434000,79350,Diesel,Individual,Manual,Second Owner,12,Maruti
690000,80000,Petrol,Individual,Automatic,First Owner,10,Hyundai
555000,90000,Diesel,Individual,Manual,Second Owner,12,Mahindra
120000,90000,Petrol,Individual,Manual,Second Owner,19,Maruti
500000,120000,Diesel,Individual,Manual,Second Owner,12,Maruti
165000,60000,Diesel,Individual,Manual,Second Owner,13,Chevrolet
95000,50000,Petrol,Individual,Manual,First Owner,22,Maruti
550000,20000,Petrol,Individual,Manual,First Owner,8,Maruti
100000,110000,Diesel,Individual,Manual,Fourth & Above Owner,19,Maruti
100000,50000,Petrol,Individual,Manual,Second Owner,14,Tata
500000,100000,Diesel,Individual,Manual,First Owner,14,Toyota
800000,70000,Diesel,Individual,Manual,Second Owner,10,Maruti
840000,70000,Diesel,Individual,Manual,Second Owner,10,Hyundai
490000,50000,Petrol,Individual,Manual,First Owner,10,Honda
125000,81000,Diesel,Individual,Manual,Second Owner,16,Tata
